Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
23,41,XRAIDS EXPERIENCE,Argentina,DIEGO GAMALIEL LLANOS,19,8,39,1,41,26,0,2,0,4
24,43,ORION - MOTO RACING GROUP,Czech Republic,MILAN ENGEL,19,12,12,1,44,59,0,0,0,4
25,30,DRAG'ON RALLY TEAM,Portugal,ANTONIO MAIO,19,19,16,1,52,3,0,13,20,4
26,73,HT RALLY RAID HUSQVARNA RACING,South Africa,CHARAN MOORE,19,40,42,2,13,29,0,0,0,4
27,57,FANTIC RACING RALLY TEAM,Italy,TOMMASO MONTANARI,19,42,0,2,14,47,0,0,0,4
28,70,ORION - MOTO RACING GROUP,Czech Republic,DUSAN DRDAJ,19,48,55,2,21,42,0,0,0,4
29,29,KOVE,France,NEELS THERIC,19,50,13,2,23,0,0,15,0,4
30,96,KINI RALLY RACING TEAM,Austria,TOBIAS EBSTER,19,51,12,2,23,59,0,16,0,4
31,33,STROJRENT RACING,Czech Republic,JAN BRABEC,19,51,47,2,24,34,0,0,0,4
32,31,ORLEN TEAM,Poland,MACIEJ GIEMZA,19,54,49,2,27,36,0,0,0,4
33,34,AUTONET MOTORCYCLE TEAM,Romania,EMANUEL GYENES,19,56,40,2,29,27,0,0,0,4
34,62,FANTIC RACING,France,JEREMY MIROIR,20,7,0,2,39,47,0,0,0,4
35,37,ANQUETY MOTORSPORT,Belgium,JEROME MARTINY,20,54,37,3,27,24,0,15,0,4
36,82,PEDREGA TEAM,Spain,ALBERT MARTIN GARCIA,20,59,53,3,32,40,0,0,0,4
37,39,TEAM ESPRIT KTM,France,BENJAMIN MELOT,21,13,35,3,46,22,0,0,0,4
38,36,CRÉDITO AGRÍCOLA - MARIOPATRAO.COM,Portugal,MARIO PATRAO,21,14,25,3,47,12,0,15,0,4
39,140,XRAIDS EXPERIENCE,Portugal,BRUNO SANTOS,21,18,50,3,51,37,0,19,0,4
40,103,HT RALLY RAID HUSQVARNA RACING,Zimbabwe,ASHLEY THIXTON,21,27,26,4,0,13,0,7,0,4
41,174,7240 TEAM / DRAGON RALLY SERVICE,Argentina,MANUEL ANDUJAR,21,51,48,4,24,35,0,0,0,4
42,106,UNIVERSAL RIDE,France,JEROME BAS,22,4,27,4,37,14,0,27,10,4
43,115,ALL1 TEAM,Spain,JOSEP PEDRO SUBIRATS,22,6,6,4,38,53,0,17,0,4
44,86,TEAM ALL TRACKS,France,CHARLIE HERBST,22,6,29,4,39,16,0,0,0,4
45,99,XRAIDS EXPERIENCE,Argentina,JUAN SANTIAGO ROSTAN,22,13,10,4,45,57,0,0,0,4
46,172,YAMAHA RACING - SMX - DRAG'ON,France,ALEXANDRE GIROUD,22,13,12,4,45,59,0,15,0,4
47,177,TAGUATUR RACING TEAM,Brazil,MARCELO MEDEIROS,22,15,55,4,48,42,0,0,0,4
48,53,JOYRIDE RACE SERVICE,Denamrk,THOMAS KONGSHOJ,22,18,17,4,51,4,0,0,0,4
49,147,NOMADE RACING,France,MATHIEU GIRARD,22,22,19,4,55,6,0,15,0,4
50,101,ORION - MOTO RACING GROUP,Czech Republic,MARTIN PROKES,22,28,32,5,1,19,0,0,10,4
51,148,BAS WORLD KTM RACING TEAM,Chile,TOMAS DE GAVARDO,22,30,42,5,3,29,0,1,0,4
52,81,KOVE,China,FANG XIANGLIANG,22,31,57,5,4,44,0,1,0,4
53,171,VARGA MOTORSPORT TEAM,Slovakia,JURAJ VARGA,22,38,2,5,10,49,0,1,0,4
54,61,SP MOTO BOHEMIA,Czech Republic,DAVID PABISKA,22,42,13,5,15,0,0,6,10,4
55,110,FANTIC RACING,United Kingom,JANE DANIELS,22,57,51,5,30,38,0,0,0,4
56,105,NOMADE RACING,France,JULIEN DALBEC,23,22,23,5,55,10,0,17,0,4
57,170,STORY Racing,Lithuania,LAISVYDAS KANCIUS,23,28,33,6,1,20,0,2,0,4
