Sex,Form,Group,Team,Athlete,Score
M,bare hand routines Other routines,C,USA,Landau TZOU,8.54
M,bare hand routines Other routines,C,USA,Preston FARR,8.45
M,bare hand routines Other routines,C,GRE,DINAKU ALEXANDROS,8.35
M,bare hand routines Other routines,C,BRU,Ayden Chun Zhen LOO,8.33
M,bare hand routines Other routines,C,EGY,Omar ELSHOURBAGI,8.2
M,bare hand routines Other routines,C,EGY,Moustafa ZARA,8.19
W,Fifth type bare hand routines Shaolinquan,E,AUS,Rosemary HERMANS,8.55
W,Fifth type bare hand routines Shaolinquan,E,HUN,Szilvia GARAMI,8.54
W,Fifth type bare hand routines Shaolinquan,E,HUN,Mária ARUTYUNJAN,8.53
W,Fifth type bare hand routines Shaolinquan,E,INA,Ivonny BUDIONO,8.48
W,Fifth type bare hand routines Shaolinquan,E,BRA,Renata Cristina LIU,8.41
W,Fifth type bare hand routines Shaolinquan,E,GRE,Maria KONSTANTINOU,8.36
M,First type bare hand routines Bajiquan,A,CAN,Ronghou LI,7.51
M,First type bare hand routines Bajiquan,A,USA,Aiden LIANG,7.4
M,First type bare hand routines Bajiquan,A,INA,Muhammad Rifat Azhar WIBOWO,7.38
M,First type bare hand routines Bajiquan,A,NZL,Noah Junwei LIU,7.37
M,First type bare hand routines Bajiquan,A,AUS,Jones Dave SANJO,7.27
M,First type bare hand routines Bajiquan,A,CAN,Eden Jing Cheng LIU,7.26
M,First type bare hand routines Bajiquan,A,USA,Greyson TURNBULL,7.26
M,Third type bare hand routines,A,USA,Frederick LI,7.76
M,Third type bare hand routines,A,MAC,ZHENG Kun Pang,7.56
M,Third type bare hand routines,A,FRA,Léo SCHUR CHEN,7.49
M,Third type bare hand routines,A,MAC,TANG Pak Him,7.45
M,Third type bare hand routines,A,HKG,LYU Mingqian,7.35
M,Third type bare hand routines,A,USA,Augustine DENG,7.23
M,Third type bare hand routines,A,MEX,Santiago ATANACIO CASAS,7.2
M,Fourth type bare hand routine Chaquan,A,HKG,FUNG Yat,7.8
M,Fourth type bare hand routine Chaquan,A,SGP,WENG Linrui,7.56
M,Fourth type bare hand routine Chaquan,A,NZL,Villa ZHANG,7.5
M,Fourth type bare hand routine Chaquan,A,USA,Henry ZHOU,7.48
M,Fourth type bare hand routine Chaquan,A,INA,Brandon GUNAWAN,7.45
M,Fourth type bare hand routine Chaquan,A,LAT,Ilja KISELOVS,7.4
M,Fourth type bare hand routine Chaquan,A,USA,Henry Mengxuan HE,7.26
M,Fourth type bare hand routine Chaquan,A,USA,Atharva DATAR,7.25
M,Fourth type bare hand routine Chaquan,A,HKG,ZHENG Adrian,7.2
M,Fourth type bare hand routine Chaquan,A,USA,Brendan HOANG,7.16
M,Fourth type bare hand routine Chaquan,A,IND,Messi LAISHRAM,7.15
M,Fourth type bare hand routine Chaquan,A,USA,Weihang YAN,7.12
M,Fifth type bare hand routines Shaolinquan,A,GRE,Adrianos Marios SEITANIDIS,7.5
M,Fifth type bare hand routines Shaolinquan,A,GRE,Charalambos PAVLOPOULOS,7.48
M,Fifth type bare hand routines Shaolinquan,A,INA,Kenzo Athalla KAFI,7.41
M,Fifth type bare hand routines Shaolinquan,A,USA,Kai Parker AU-YEUNG,7.25
M,Fifth type bare hand routines Shaolinquan,A,USA,Hardy WANG,7.2
M,Fifth type bare hand routines Shaolinquan,A,MEX,Sergio Leonardo ABARCA CAZARES,7.1
M,Fifth type bare hand routines Shaolinquan,A,EGY,Omar KARAMALLA,6.7
M,bare hand routines Other routines,A,USA,Alex LI,7.67
M,bare hand routines Other routines,A,HKG,LYU Mingze,7.66
M,bare hand routines Other routines,A,FRA,Lorenzo REZZONICO,7.48
M,bare hand routines Other routines,A,HKG,YU Jianan,7.42
M,bare hand routines Other routines,A,NZL,Ruize GUI,7.38
M,bare hand routines Other routines,A,CAN,LI Wangsen,7.31
M,bare hand routines Other routines,A,USA,Micah YU,7.29
M,bare hand routines Other routines,A,USA,Zephyr Alexander REGAN,7.27
M,bare hand routines Other routines,A,HKG,LO Brandon Chak Kwan,7.26
M,bare hand routines Other routines,A,NZL,Liyou LI,7.25
M,bare hand routines Other routines,A,CAN,Albert ZHAO,7.23
M,bare hand routines Other routines,A,BRU,Jacob Oliver CHUA,7.23
M,bare hand routines Other routines,A,NZL,Nitai GRBIN,7.19
M,bare hand routines Other routines,A,CAN,Zizai YU,7.19
M,bare hand routines Other routines,A,USA,Kevin Jingcheng ZHANG,7.17
M,First type bare hand routines Bajiquan,B,USA,Aaron PINEDO,8.46
M,First type bare hand routines Bajiquan,B,LAT,Mihails FISKISS,8.42
M,First type bare hand routines Bajiquan,B,USA,Jared ARROYO,8.39
M,First type bare hand routines Bajiquan,B,EGY,Sif SALAMA,8.37
M,First type bare hand routines Bajiquan,B,AUS,Haolong Carlos LI,8.34
M,First type bare hand routines Bajiquan,B,CAN,Jing Hao Alexander NG,8.29
M,First type bare hand routines Bajiquan,B,MAC,CHAN Chi Hin,8.26
M,Second type bare hand routine,B,HKG,HE Dragon,8.68
M,Second type bare hand routine,B,SVK,Martin GáLIS,8.54
M,Second type bare hand routine,B,USA,Adam CHAI,8.53
M,Second type bare hand routine,B,USA,Aaron LIANG,8.36
M,Second type bare hand routine,B,MAC,CHEOK Wa Weng,8.29
M,Second type bare hand routine,B,USA,Ethan YUE,8.21
M,Third type bare hand routines,B,USA,Timothy TAFF,8.52
M,Third type bare hand routines,B,IND,Sri Varshan SURESH KUMAR,8.43
M,Third type bare hand routines,B,BRA,Lorenzo SAVIANE ANTOGNOLLI,8.4
M,Third type bare hand routines,B,USA,Ethan CHAN,8.33
M,Third type bare hand routines,B,MEX,Bruno Armando DELGADO HOLGUIN,8.33
M,Third type bare hand routines,B,FRA,Andrej DENIC,8.28
M,Third type bare hand routines,B,CAN,Michael Yujia HAO,8.11
M,Fourth type bare hand routine Chaquan,B,SGP,CHIA Hong Jie Ayden,8.49
M,Fourth type bare hand routine Chaquan,B,USA,Matthew Yum Ping WONG,8.41
M,Fourth type bare hand routine Chaquan,B,AUS,Ashton Tsz Pui CHAN,8.39
M,Fourth type bare hand routine Chaquan,B,HKG,WONG Remus,8.31
M,Fourth type bare hand routine Chaquan,B,USA,Miles GAAN,8.23
M,Fourth type bare hand routine Chaquan,B,USA,Bryan TSUN,8.21
M,Fifth type bare hand routines Shaolinquan,B,GRE,Konstantinos LIAPIS,8.65
M,Fifth type bare hand routines Shaolinquan,B,MAS,NG Ricky Jia Cheng,8.49
M,Fifth type bare hand routines Shaolinquan,B,KAZ,Rinat MARAYEV,8.46
M,Fifth type bare hand routines Shaolinquan,B,MAS,TAN Darren Guan Liang,8.4
M,Fifth type bare hand routines Shaolinquan,B,GRE,Odysseas THEODOROU,8.38
M,Fifth type bare hand routines Shaolinquan,B,USA,Yabin YANG,8.33
M,Fifth type bare hand routines Shaolinquan,B,USA,Logan Xavier AU-YEUNG,8.31
M,Fifth type bare hand routines Shaolinquan,B,EGY,Mansour ELALAMI,8.09
M,Fifth type bare hand routines Shaolinquan,B,EGY,Mohamed SHALABI,7.9
M,Fifth type bare hand routines Shaolinquan,B,EGY,Elsayed ELSHERBINI,7.66
M,bare hand routines Other routines,B,USA,Nathan CHAN,8.46
M,bare hand routines Other routines,B,USA,Alphard SHI,8.41
M,bare hand routines Other routines,B,USA,Julian THIO,8.38
M,bare hand routines Other routines,B,USA,Aaron FENG,8.37
M,bare hand routines Other routines,B,ITA,Mark SECCI,8.36
M,bare hand routines Other routines,B,FRA,Aaron COHEN,8.33
M,bare hand routines Other routines,B,ROU,Andrei UDISTEANU ASLAN,8.27
