pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
9,CHA,Kemba Walker,UConn,11,741,24666,14414,2815,3919,0.418,0.36,0.84,59.5,0.116,2011,33.3,19.5,3.8,5.3,1,9,Picks 1-10
10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,2.2,0.033,2011,13.3,6,1,1.4,1,10,Picks 1-10
11,GSW,Klay Thompson,Washington State,9,631,20744,12268,2190,1465,0.458,0.418,0.849,47.8,0.11,2011,32.9,19.4,3.5,2.3,1,11,Picks 11-20
12,UTA,Alec Burks,Colorado,11,602,13605,6339,2068,1179,0.418,0.375,0.799,23.9,0.084,2011,22.6,10.5,3.4,2,1,12,Picks 11-20
13,PHO,Markieff Morris,Kansas,11,708,17613,7770,3697,1144,0.446,0.341,0.777,27,0.073,2011,24.9,11,5.2,1.6,1,13,Picks 11-20
14,HOU,Marcus Morris,Kansas,11,700,18965,8674,3232,1050,0.436,0.379,0.768,35.9,0.091,2011,27.1,12.4,4.6,1.5,1,14,Picks 11-20
15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,0.493,0.384,0.858,83.3,0.222,2011,31.3,19.2,6.4,2.9,1,15,Picks 11-20
16,PHI,Nikola Vučević,USC,11,720,22214,12210,7536,1990,0.494,0.351,0.756,58.5,0.126,2011,30.9,17,10.5,2.8,1,16,Picks 11-20
17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,12.9,0.054,2011,24.9,7.2,3.3,1.8,1,17,Picks 11-20
18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,2.3,0.042,2011,17.6,4.1,3.2,0.6,1,18,Picks 11-20
19,CHA,Tobias Harris,Tennessee,11,729,22807,11970,4523,1655,0.476,0.366,0.829,56.9,0.12,2011,31.3,16.4,6.2,2.3,1,19,Picks 11-20
20,MIN,Donatas Motiejūnas,NA,6,251,4566,1832,952,269,0.469,0.3,0.597,7.1,0.075,2011,18.2,7.3,3.8,1.1,1,20,Picks 11-20
21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,-0.8,-0.047,2011,9.9,3.3,1,1.2,1,21,Picks 21-30
22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,38.8,0.159,2011,24.5,11.4,8.1,1,1,22,Picks 21-30
23,HOU,Nikola Mirotić,NA,5,319,7718,3910,1894,407,0.423,0.359,0.808,20.8,0.129,2011,24.2,12.3,5.9,1.3,1,23,Picks 21-30
24,OKC,Reggie Jackson,Boston College,11,685,17423,8864,2047,2920,0.425,0.345,0.854,33.7,0.093,2011,25.4,12.9,3,4.3,1,24,Picks 21-30
