player,level,gender,division,team_name,team_games
Tova Gordon,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Tomomi Perry,D3,Men,Division 3 Men,Carleton CHOP,6
Sathvik Avulapati,D1,Men,Division 1 Men,NC State Alpha,6
Sassan Fahim,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Sarah Skinner,D3,Women,Division 3 Women,Union Jillz,6
Samuel Winkler,D3,Men,Division 3 Men,Claremont Braineaters,6
Samuel Rysko,D3,Men,Division 3 Men,Davenport Panthers,6
Ryan Fontanez,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Rita Narbonne,D1,Women,Division 1 Women,Vermont Ruckus,6
Raffael Venterea,D3,Men,Division 3 Men,Rochester Piggies,6
rachel Vanpelt,D3,Women,Division 3 Women,Union Jillz,6
Quinn Sumerlin,D3,Women,Division 3 Women,Occidental WAC,6
Phoenix Adams,D1,Women,Division 1 Women,Oregon Fugue,6
Philomena Shuffelton-Sobe,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Owen Thoms,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Nora de Rege,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Nika Rockafeller,D1,Women,Division 1 Women,Vermont Ruckus,6
Nicolas Moreira,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Nico Darringer,D3,Men,Division 3 Men,Whitman Sweets,6
Molly Horstman Olson,D3,Women,Division 3 Women,Carleton Eclipse,6
Mitch Whisner,D3,Men,Division 3 Men,Rochester Piggies,6
Minh-Huy Le,D3,Men,Division 3 Men,Williams WUFO,6
Miles Collins,D3,Men,Division 3 Men,Carleton CHOP,6
Melissa Dodson,D3,Women,Division 3 Women,Occidental WAC,6
Meagan Chau,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Mae Wrigley,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Madeleine Kruckemeyer,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Maclain Everson-Rose,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Lucinda Toppen,D1,Women,Division 1 Women,Vermont Ruckus,6
Lucia Neyra,D3,Women,Division 3 Women,Portland UPRoar,6
Liam Griffin,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Liam Etelson,D3,Men,Division 3 Men,Carleton CHOP,6
Leo Devonshire,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Kelsi Jones,D3,Women,Division 3 Women,Union Jillz,6
Kate Bicks,D3,Women,Division 3 Women,Colorado College Zenith,6
Jasmine Lin,D3,Women,Division 3 Women,Richmond Red Hots,6
Jahiem Upchurch,D3,Men,Division 3 Men,Davenport Panthers,6
Isaiah Curtis,D3,Men,Division 3 Men,Claremont Braineaters,6
Ian Neal,D3,Men,Division 3 Men,Davenport Panthers,6
Hans Frautschi,D3,Men,Division 3 Men,Whitman Sweets,6
Hannah Lute,D3,Women,Division 3 Women,Union Jillz,6
Gabrielle Weaver,D3,Women,Division 3 Women,Portland UPRoar,6
Gabriel Graceffo,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Ezra Marcus-Tyler,D3,Men,Division 3 Men,Claremont Braineaters,6
